Dataset size,Uniform distribution,Normal distribution,Overlap distribution
10000,2506.875,14537.20833,7909.833333
20000,4545.5,33954.58333,23855.875
30000,6591.833333,54463.125,37257.20833
40000,10294.95833,78656.54167,53316.45833
50000,13557.41667,103767.5417,67733.04167
60000,15791.375,121744,85430.16667
70000,17775.16667,141777.0417,101157.9583
80000,19931.33333,173254.6667,111218.2917
90000,27120.75,193945,142385.5
100000,26343.66667,216958.125,156132.5833
110000,36508.66667,228204.5,168490.0417
120000,38974.875,262807.375,189199.375
130000,37275.04167,294025.875,199465.5417
140000,49295.66667,311436.7083,224208.2917
150000,48775.91667,335455.5,236364.875
160000,55390.66667,351227.9167,258129.8333
170000,49947.58333,386683.2083,283853.2917
180000,60714.25,403483.0833,297575.4167
190000,68916.79167,424748.4167,310954.125
200000,74943.375,453369.9583,331958.9167
210000,69037.54167,468679.9583,344234.5417
220000,81001.91667,494191.5417,376979.3333
230000,83519.45833,517590.2083,384896.7917
240000,92158.04167,559262.1667,401005.5417
250000,100238.5,561166.25,409355.0833
260000,89646.08333,611461.3333,441991.125
270000,96897.29167,612929.9167,461436.9167
280000,104502.7917,655812.125,485263.9583
290000,114069,676725.8333,504813.7083
300000,123820.0417,704719.9167,505372.3333
310000,124757.2083,735557.2083,554437.5
320000,128263.9167,747681.125,560580.5833
330000,122337.75,791083.125,578029.7083
340000,137575.25,813024.2083,590057.7083
350000,137057.875,821112.1667,612434.4583
360000,138346.2083,833785.25,621114.125
370000,156817.2917,871834.9583,656787.75
380000,147259.5417,909963.4167,673112.9583
390000,153846.3333,921922.0833,674244.7083
400000,156576.0833,958294.0417,710537.7083
410000,171467.2917,955825.6667,732065.0833
420000,155613.125,1005914.5,751693.25
430000,174469.7083,994272.7083,761241.7083
440000,183263.75,1054460.458,813822.6667
450000,196593.2917,1063929.958,801467.4583
460000,198001.2917,1142769.667,805185.8333
470000,192535.0417,1091763.417,804713.0833
480000,207523.7917,1126796.875,850734.8333
490000,223966.2083,1212119.792,864938.6667
500000,208418.625,1178455.292,869298.0417
510000,220747.5833,1196882.542,944680.625
520000,229292.625,1249156.25,920784.1667
530000,213605.625,1261562.25,965544.8333
540000,224766.375,1280232.667,977534.2917
550000,242161.25,1329298.792,974224.8333
560000,253377.9167,1362620.417,1004313.958
570000,240135.4167,1358423.458,1045574
580000,259103.6667,1443028.083,1095880.167
590000,249441.375,1427122.458,1036649.792
600000,254391.2917,1469645.667,1082935.25
610000,282305.1667,1473097.667,1113986.25
620000,283158.875,1465022.042,1139683.667
630000,254707.3333,1560434.958,1131253
640000,277041.4583,1543750.292,1122841.25
650000,277960.875,1583750.125,1165627.583
660000,296919.3333,1609178.833,1220235.875
670000,297920.4167,1607522.458,1252239.792
680000,305625.9167,1656579.667,1217939.333
690000,307396.1667,1723223.542,1286672.375
700000,307855.6667,1690783.917,1286624.583
710000,303005.375,1767122.708,1321524.792
720000,325406.125,1751191.958,1278348.208
730000,335951.9583,1788163.667,1338721.5
740000,348576.6667,1857933.375,1330740.292
750000,336677.5417,1792827.75,1369176.708
760000,339840.5417,1822148.792,1383097.625
770000,343894.4583,1887520.375,1435943.292
780000,355994.75,1874468,1449810.417
790000,364071.25,1896945.875,1459581.208
800000,354113.7083,1946515.833,1482785.5
810000,351735.5833,1975081.5,1519070.417
820000,383810,2007962.375,1526719.042
830000,353140.7083,1959364.75,1537120.667
840000,349699.25,2081698.667,1539503.875
850000,406008.5,2101086.917,1547738
860000,411602.6667,2102335.75,1638081.375
870000,388490.5417,2175660.292,1651087.667
880000,399701.8333,2160704.167,1637720.042
890000,411050.1667,2211686,1715323.167
900000,411018.625,2238811.875,1720094.458
910000,397893.7083,2153467.25,1694682.75
920000,400477.375,2280172.583,1734419.208
930000,412530,2356881.042,1784296.833
940000,436337.5417,2303311.333,1754898.958
950000,434773.375,2402676.875,1785533.042
960000,432857.5417,2326762.875,1828503.708
970000,447620.0417,2361241.958,1841965.833
980000,444795.4583,2367590.625,1820111.833
990000,455704.25,2441783.5,1877379.208
1000000,460077.125,2519251.333,1945696.75
