Dataset Size,Total sum of x for uniform distribution,Uniform Distribution,Total sum of x for normal distribution,Normal Distribution,Total sum of x for overlap distribution,Overlap Distribution
10000,1263.541667,0.1263541667,10611.875,1.0611875,5646.333333,0.5646333333
20000,3158.083333,0.1579041667,29265.875,1.46329375,17790.08333,0.8895041667
30000,4851.125,0.1617041667,50974.70833,1.699156944,32231.45833,1.074381944
40000,7729.375,0.193234375,70273.04167,1.756826042,45464.95833,1.136623958
50000,9599.666667,0.1919933333,93688.75,1.873775,62147.79167,1.242955833
60000,11800.5,0.196675,114688.3333,1.911472222,75770.41667,1.262840278
70000,12805.29167,0.1829327381,141225.125,2.017501786,93292.41667,1.33274881
80000,18926.45833,0.2365807292,164331.8333,2.054147917,107947.2083,1.349340104
90000,21565.125,0.2396125,180838.5417,2.00931713,126134.9583,1.401499537
100000,23204.625,0.23204625,206995.125,2.06995125,145345.0417,1.453450417
110000,28675.375,0.2606852273,237329.625,2.157542045,161369.9583,1.466999621
120000,35174.875,0.2931239583,255714.4167,2.130953472,170774.7917,1.423123264
130000,38269.08333,0.2943775641,271138.5417,2.08568109,193712.3333,1.490094872
140000,40728.41667,0.2909172619,288849.25,2.063208929,203788,1.455628571
150000,35446.20833,0.2363080556,324412,2.162746667,220442.7917,1.469618611
160000,42031.375,0.2626960938,351156.4167,2.194727604,236659.0833,1.479119271
170000,52806.58333,0.3106269608,367950.2917,2.16441348,256390.125,1.508177206
180000,52267.45833,0.2903747685,390385.9167,2.168810648,276193.2083,1.534406713
190000,55262.875,0.2908572368,418418.375,2.202201974,300944.7917,1.583919956
200000,61939.33333,0.3096966667,451820.5417,2.259102708,314957.9167,1.574789583
210000,65523.20833,0.3120152778,471398.4167,2.244754365,331725.6667,1.579646032
220000,63729.20833,0.2896782197,491718.375,2.235083523,343289.2083,1.560405492
230000,70928.58333,0.3083851449,517195.7083,2.248676993,356760.7917,1.551133877
240000,73835.875,0.3076494792,516389.2083,2.151621701,383758.5417,1.598993924
250000,94316.95833,0.3772678333,553152.625,2.2126105,417032.2917,1.668129167
260000,86095.625,0.3311370192,592126.1667,2.277408333,412267.4167,1.58564391
270000,95354.25,0.3531638889,608613.2917,2.254123302,449093.9167,1.663310802
280000,88815.66667,0.3171988095,621359.6667,2.219141667,453520.0417,1.619714435
290000,98409.625,0.3393435345,647964.9167,2.234361782,489169.875,1.686792672
300000,110103,0.36701,698549.9167,2.328499722,490852.625,1.636175417
310000,110423.7083,0.3562055108,716007.0417,2.309700134,512757.8333,1.654057527
320000,110149.5833,0.3442174479,727691.4583,2.274035807,507581,1.586190625
330000,130458.6667,0.3953292929,757372.875,2.295069318,557512.5417,1.689431944
340000,115956.1667,0.341047549,779874.0833,2.293747304,599623.75,1.763599265
350000,120201,0.3434314286,807038.7917,2.305825119,608060.0417,1.737314405
360000,143534.75,0.3987076389,822653.7917,2.285149421,603772.9167,1.677146991
370000,136890.4583,0.3699742117,866329.5417,2.341431194,614731.7917,1.661437275
380000,132631.3333,0.3490298246,863307.1667,2.271860965,650636.7917,1.712202083
390000,135798.125,0.3482003205,906508.5833,2.324380983,653111.6667,1.674645299
400000,141995.7917,0.3549894792,955149.2083,2.387873021,698829.0833,1.747072708
410000,164122.625,0.4002990854,960148.3333,2.341825203,721069.7083,1.758706606
420000,170068.7083,0.404925496,971196.625,2.312372917,733418.9167,1.746235516
430000,170950.75,0.3975598837,1007027.292,2.341923934,737545.6667,1.715222481
440000,168737.125,0.3834934659,1012771.042,2.301752367,766473.5,1.741985227
450000,196803,0.43734,1082807.542,2.406238981,803124.125,1.784720278
460000,175039.7917,0.3805212862,1127855.5,2.451859783,794377.2917,1.726907156
470000,192438.2083,0.4094429965,1130137.792,2.404548493,822581.4167,1.750173227
480000,181618.5417,0.3783719618,1148752.083,2.393233507,826473.8333,1.721820486
490000,198249.9583,0.4045917517,1147637.833,2.342118027,864634.2083,1.764559609
500000,194691.5,0.389383,1165398.958,2.330797917,870326.5,1.740653
510000,206309.4583,0.4045283497,1228714.333,2.409243791,899632.0833,1.763984477
520000,222035.0833,0.4269905449,1232781.25,2.370733173,942248.5,1.812016346
530000,210095.9167,0.3964073899,1303693.625,2.459799292,929321.5417,1.753436871
540000,229314.9167,0.4246572531,1289470.417,2.387908179,947974.7083,1.755508719
550000,229461.2083,0.417202197,1320844.083,2.401534697,951634.5833,1.730244697
560000,216574.7917,0.3867406994,1397288.167,2.49515744,1022219.667,1.825392262
570000,230534.0833,0.4044457602,1444649.833,2.534473392,1027557.417,1.80273231
580000,229566.4167,0.3958041667,1448951.5,2.498192241,1006173.125,1.73478125
590000,251504.625,0.4262790254,1434864.292,2.431973376,1068075.625,1.810297669
600000,246836,0.4113933333,1459216.333,2.432027222,1083394.708,1.805657847
610000,237716.5,0.3896991803,1536713.5,2.519202459,1127590.958,1.848509768
620000,243961.4583,0.3934862231,1528144.042,2.464748454,1129190.958,1.821275739
630000,263984.9167,0.4190236772,1582251.75,2.511510714,1150864.083,1.826768386
640000,257147.5417,0.4017930339,1602947.625,2.504605664,1178660.292,1.841656706
650000,273333.3333,0.4205128205,1605728.25,2.470351154,1182872.167,1.819803333
660000,267386.375,0.4051308712,1602947.625,2.428708523,1215991.75,1.842411742
670000,299605.8333,0.4471728856,1605728.25,2.396609328,1203548.083,1.796340423
680000,281425.1667,0.4138605392,1657815.833,2.437964461,1221248.333,1.795953431
